Date,Open,High,Low,Close,Volume,ticker
2012/7/5,155.44,156.4,154.45,155.68,5358669,GLD
2012/7/6,154.23,154.49,152.95,153.71,7044742,GLD
2012/7/9,153.61,154.58,153.43,154.04,4466769,GLD
2012/7/10,155.13,155.1799,151.78,152.15,9724937,GLD
2012/7/11,152.58,153.45,152.02,152.99,6836677,GLD
2012/7/12,151.26,153.07,150.85,152.59,11394510,GLD
2012/7/13,153.45,154.94,153.44,154.14,5080287,GLD
2012/7/16,154.43,154.75,153.98,154.21,5710680,GLD
2012/7/17,154.01,154.5,152.45,153.47,13021580,GLD
2012/7/18,152.67,153.6,152.4,153.05,6801180,GLD
2012/7/19,153.73,154.32,152.93,153.38,6069587,GLD
2012/7/20,152.97,154,152.75,153.67,8583764,GLD
2012/7/23,152.5,153.33,152.29,153.03,5256526,GLD
2012/7/24,153.63,153.8,152.2,153.52,6501003,GLD
2012/7/25,155.33,156.29,155.05,155.67,9350016,GLD
2012/7/26,156.7,157.26,156.05,156.77,7342959,GLD
2012/7/27,157.64,157.96,156.66,157.54,9772527,GLD
2012/7/30,156.84,157.66,154.81,157.43,7210823,GLD
2012/7/31,157.6,157.72,156.26,156.49,10917650,GLD
2012/8/1,155.18,155.79,154.41,155.14,12715130,GLD
2012/8/2,154.66,155.14,153.61,154.13,11536810,GLD
2012/8/3,154.65,155.89,154.42,155.55,10670190,GLD
2012/8/6,155.92,156.73,155.74,156.3,4611957,GLD
2012/8/7,156.37,156.63,156.01,156.28,5923269,GLD
2012/8/8,156.49,156.86,156.26,156.48,3619751,GLD
2012/8/9,156.36,157,156.28,156.99,3175389,GLD
2012/8/10,156.9,157.82,156.6523,157.18,4607181,GLD
2012/8/13,157.05,157.45,155.9,155.99,4572844,GLD
2012/8/14,155.06,155.58,154.83,155.13,5072872,GLD
2012/8/15,155.32,155.82,155.271,155.63,4992649,GLD
2012/8/16,155.85,157.09,155.5,156.56,8837723,GLD
2012/8/17,157.06,157.07,156.22,156.72,7812003,GLD
2012/8/20,156.52,157.395,156.47,157.26,7845217,GLD
2012/8/21,158.81,159.2,158.69,158.83,11829870,GLD
2012/8/22,159.19,160.63,158.51,160.54,13581880,GLD
2012/8/23,161.41,162.451,161.23,161.89,17217010,GLD
2012/8/24,161.87,162.35,161.33,161.97,8494904,GLD
2012/8/27,161.77,162.294,161.34,161.36,5379061,GLD
2012/8/28,161.63,162.19,161.3,161.64,5073444,GLD
2012/8/29,161.6,161.68,160.18,160.59,9286179,GLD
2012/8/30,161.26,161.31,160.01,160.52,5813468,GLD
2012/8/31,161.14,164.22,159.56,164.22,18024170,GLD
2012/9/4,164.11,164.77,163.66,164.48,12011770,GLD
2012/9/5,164.12,164.39,163.81,164.31,8401395,GLD
2012/9/6,165.16,165.78,164.8,164.89,12953560,GLD
2012/9/7,167.77,169,167.37,168.44,19137480,GLD
2012/9/10,167.84,168.14,167.225,167.29,7760078,GLD
2012/9/11,168.22,168.53,167.79,167.9,7509274,GLD
2012/9/12,168.84,168.87,167.25,167.92,9941923,GLD
2012/9/13,167.87,171.91,166.3,171.31,28310630,GLD
2012/9/14,171.89,172.23,171.31,171.8,16847110,GLD
2012/9/17,171.77,171.96,170.06,170.4,11277700,GLD
2012/9/18,170.81,171.95,170.67,171.72,12467120,GLD
2012/9/19,171.88,172.03,171.19,171.74,9122989,GLD
2012/9/20,171.03,171.69,170.226,171.47,8700345,GLD
2012/9/21,172.93,173.185,171.54,171.96,13360840,GLD
2012/9/24,170.63,171.39,170.57,171.05,9170594,GLD
2012/9/25,171.76,172.11,170.5,170.77,10353050,GLD
2012/9/26,169.46,170.05,168.34,169.81,12059550,GLD
2012/9/27,171.02,172.6,170.76,172.34,10530300,GLD
2012/9/28,172.03,172.48,171.34,171.89,9680996,GLD
2012/10/1,172.83,173.62,171.77,172.295,10675510,GLD
2012/10/2,172.47,172.7,171.59,172.1,7052945,GLD
2012/10/3,172.51,172.61,171.89,172.41,5642751,GLD
2012/10/4,173.2,174.07,172.916,173.61,10375810,GLD
2012/10/5,172.87,173.37,172.01,172.62,8870943,GLD
2012/10/8,171.75,172.28,171.68,172.05,3748638,GLD
2012/10/9,171.86,172.17,170.56,170.99,7749357,GLD
2012/10/10,170.54,171.34,170.3,170.84,7359423,GLD
2012/10/11,171.3,171.95,171.13,171.32,5712697,GLD
2012/10/12,171.15,171.41,169.81,170.06,8265699,GLD
2012/10/15,169.01,169.1,167.53,168.35,10702370,GLD
2012/10/16,168.87,169.45,168.67,169.42,6203068,GLD
2012/10/17,169.21,169.95,168.92,169.54,5201677,GLD
2012/10/18,168.8,169.31,168.59,168.7891,6605881,GLD
2012/10/19,168.42,168.45,166.23,166.97,13854840,GLD
2012/10/22,167.08,167.63,167.0301,167.58,6362278,GLD
2012/10/23,166.04,166.06,165.12,165.4258,11862060,GLD
2012/10/24,165.78,165.83,164.6,164.8603,10793970,GLD
2012/10/25,166.29,166.53,165.77,166.02,7013338,GLD
2012/10/26,166.23,166.6,165.77,165.93,6441756,GLD
